"","Name","bonica_rid","pct_age_65plus","N"
"117","young, david l.","cand169005",0.8125,1328
"118","smith, jamey lee","cand169004",0.81216457960644,1118
"119","sweetser, kyle","cand167580",0.811544991511036,1767
"120","adubato, beth ellen ph.d.","cand168280",0.810709838107098,803
"121","mcclellan, jennifer","cand113814",0.809963579604579,15376
"122","way, tahesha","cand179383",0.808721506442022,2018
"123","huynh, khai hoan","cand169705",0.808707482993197,3675
"124","overman, kimberly","cand171447",0.808510638297872,376
"125","danimus, ann marie","cand213310",0.808332402546632,8953
"126","mciver, lamonica","cand219285",0.808039797443505,44827
"127","aguilar, pete","cand40779",0.808026291479344,178613
"128","brungardt, kenneth francis jr","cand169702",0.807291666666667,192
"129","schiff, adam","cand223228",0.806794450869587,2554202
"130","stansbury, melanie","cand150624",0.806787353923205,38336
"131","tester, jon","cand1583",0.806299379522666,1896282
"132","calvarese, trisha","cand218522",0.806266014149064,238461
"133","krishnamoorthi, s raja","cand167730",0.806193437172936,32486
"134","hunt, tracy","cand171521",0.806122448979592,392
"135","collins, paula","cand219428",0.805982550893228,2407
"136","whitehouse, sheldon ii","cand1585",0.805647474078976,95193
"137","von wilpert, marni","cand172665",0.80546792849632,5706
"138","rourk, caitlin mcclay","cand170350",0.805361733382299,2723
"139","dunn, harry","cand218965",0.80532401768002,229864
"140","pingree, chellie m","cand1047",0.804752667313288,20620
"141","buchanan, gary","cand212100",0.804577464788732,568
"142","berman, mitchell","cand171554",0.804387568555759,4923
"143","mccann, sean","cand170050",0.804032258064516,6200
"144","whitten, gregory","cand218244",0.803212851405622,4233
"145","clyburn, james e","cand1552",0.803140275514739,40506
"146","hawkins, alexander","cand216427",0.803046404534184,16938
"147","gross, alan","cand210667",0.800869565217391,2300
"148","frame, sean colin","cand147684",0.800837579683535,48473
"149","lopez, manny","cand165169",0.8,340
"150","nez, jonathan michael","cand218220",0.799843961029595,152526
"151","clark, frederic","cand175024",0.79874213836478,477
"152","greimel, tim","cand165005",0.798405759835433,3889
"153","schaffner, katrina","cand218235",0.796369376479874,1267
"154","warner, mark robert","cand1597",0.796349950291152,211230
"155","dandiya, pia","cand169010",0.796184271754304,4298
"156","padora, john j jr","cand218511",0.796014835284707,13751
"157","costello, david allen","cand223382",0.795819935691318,622
"158","sublette, sean","cand171544",0.795576808129109,1673
"159","schumer, charles e","cand545",0.794475928923878,463897
"160","vincent, john gregory","cand167468",0.793497892835641,1661
"161","kennedy, sandra sandy denise","cand218613",0.792553191489362,188
"162","peters, robert james","cand168248",0.792394980560736,31637
"163","bennet, michael f","cand1598",0.792388903523881,246745
"164","mcguire, mike","cand175453",0.792028135990621,4265
"165","swalwell, eric michael","cand40569",0.791547306570024,150106
"166","harris, shawn","cand218747",0.791401211864926,179723
"167","blunt rochester, lisa","cand134679",0.791380922693267,102656
"168","lewis, john r","cand50137",0.79115195862588,374727
"169","maloney, sean patrick","cand1318",0.791121532681393,112587
"170","hartmann, ray","cand219091",0.791006966434452,4737
"171","gallego, ruben","cand186443",0.790998991337985,1538672
"172","murray, patty","cand1624",0.790963013336356,211752
"173","laubacher, eileen","cand167664",0.790709288577197,234277
"174","bach, kenneth james","cand198056",0.790123456790123,243
"175","whitlow, stuart norman","cand219832",0.789521228545619,1107
"176","sullivan, john","cand165606",0.789490345045901,9477
"177","grammer, geoffrey","cand218993",0.789027149321267,1768
"178","shah, tina","cand169718",0.788989047203644,10317
"179","kaine, timothy michael","cand105168",0.788877612779771,327142
"180","bennett, rebecca","cand216453",0.788809905984866,13083
"181","johnson, henry c hank","cand977",0.78764395651706,9291
"182","obando derstine, carol","cand167711",0.787284894837476,4184
"183","wood, marisa","cand210911",0.787096420544867,36486
"184","broderick, victoria","cand219694",0.787094940306993,3518
"185","goldman, daniel","cand157240",0.785634455499523,36685
"186","frisch, adam","cand211087",0.785529056667942,517506
"187","cooper, roy","cand171584",0.785492495351299,112397
"188","nadler, jerrold l","cand1316",0.78539779920148,41076
"189","wallace, rachel","cand173959",0.78481945467944,2714
"190","dixit, anuj","cand168222",0.783819628647215,3016
"191","malinowski, tom","cand175585",0.783508899382492,2753
"192","crosswell, ryan","cand169070",0.782921304048065,10153
"193","brown, sherrod","cand1327",0.78283012388726,1892850
"194","klee hood, sarah","cand212550",0.782460945425036,39432
"195","graham, james henry","cand164953",0.782363977485929,533
"196","moulton, seth","cand160674",0.782230214113892,83974
"197","deford, william mac","cand171525",0.782178217821782,1515
"198","martin, james","cand174400",0.782111634162744,1487
"199","hirono, mazie","cand978",0.782006515990474,68447
"200","o brien, michael","cand219579",0.781642587939699,12736
"201","dziados, christopher ryan","cand219598",0.78141014313483,5659
"202","tate, joseph allen","cand168385",0.781261664800299,2679
"203","casey, robert p jr","cand1584",0.78122081836096,1078375
"204","copeland, darden hunter","cand171533",0.780863265922125,13252
"205","brownley, julia","cand40368",0.780804004555745,71119
"206","mcauley, darren","cand171446",0.780223186608804,3226
"207","pruitt, mike","cand171548",0.779708130646282,7195
"208","hubbard, chuck","cand219153",0.778691735213474,10212
"209","andrews, annie","cand168392",0.77864898811603,134551
"210","mccorkle, isaac ian","cand156974",0.778471753319829,71088
"211","stockton, james d","cand218602",0.778301886792453,212
"212","connolly, gerry","cand1079",0.778158190678496,40015
"213","mcclure, lamont","cand167462",0.777985074626866,3216
"214","conroy, carmela","cand219975",0.777595329319467,5481
"215","rutinel, manny","cand216215",0.776878294980386,80046
"216","ager, jamie","cand171495",0.776862174826305,6189
"217","jefferson, cyril","cand171492",0.776744186046512,860
"218","pan, richard dr.","cand174365",0.77674163466813,3646
"219","myers, tim","cand164860",0.776717557251908,3144
"220","leahy, patrick j","cand310",0.776610324349018,10945
"221","hoyle, valerie","cand196685",0.776219936303401,27317
"222","dembo, zach","cand170611",0.776146788990826,3270
"223","nelson, jena","cand182767",0.776129467296022,4449
"224","rudow, caleb","cand187689",0.776094531131647,6601
"225","flanagan, margaret","cand167623",0.776029886401179,78698
"226","franken, michael","cand150548",0.775892166151305,288147
"227","seifeldein, mo","cand171550",0.775883838383838,1584
"228","benjamin, laura s","cand167526",0.775510204081633,294
"229","masuda, michael","cand168216",0.775346462436178,1371
"230","shaheen, jeanne","cand1594",0.775101085820726,264132
"231","schultz, jennifer","cand182168",0.774901453197623,16997
"232","amiwala, bushra","cand169022",0.77459488518547,13021
"233","konfrst, jennifer","cand167677",0.774085874677591,6591
"234","davidson, beth","cand165289",0.774045048501123,18247
"235","tonko, paul david","cand1061",0.773395821907563,20057
"236","summers, charles david","cand219092",0.773333333333333,150
"237","pinkins, ty","cand216395",0.772560191141334,32646
"238","bank, bernadine","cand219976",0.772467532467532,3850
"239","burnett, debora lynn","cand211079",0.771451011191832,5093
"240","bustos, cheri","cand42011",0.771174269030371,95387
"241","romans, dale","cand176372",0.770860077021823,1558
"242","kilbourn, kyle","cand220028",0.770739549839228,3110
"243","frost, maxwell alejandro","cand157234",0.770537082576001,280590
"244","mcconnie saad, pablo ivan","cand174544",0.77047704770477,1111
"245","walkinshaw, james","cand167720",0.770135746606335,2210
"246","douglas, justin","cand173282",0.770060260069775,3153
"247","meadows, samantha","cand212571",0.769547325102881,1701
"248","blumenthal, richard","cand1602",0.768771684347292,70039
"249","kuster, ann mclane","cand37909",0.768596128547266,53210
"250","robinson, brittney","cand171436",0.768595041322314,121
"251","carmichael, robert marc","cand223339",0.768539325842697,445
"252","moore, michael b","cand219646",0.768305549694028,9478
"253","peltola, mary","cand141426",0.768175774282471,308350
"254","chavez, abel","cand216155",0.767504774029281,6284
"255","krishnamoorthi, s raja","cand142011",0.767355599833395,177666
"256","foster, g william bill","cand1013",0.767247235279733,36803
"257","lyerly, kristin","cand205885",0.766546166181947,73582
"258","hassan, margaret wood","cand190512",0.766371681415929,563305
"259","eggman, michael ray","cand132936",0.766245909303413,2139
"260","techau, kevin w","cand164915",0.765384615384615,520
"261","kleban, dan","cand173650",0.765173712850565,2389
"262","tokuda, jill naomi","cand57685",0.765007062146893,5664
"263","baldwin, tammy","cand1544",0.764780860868713,1070895
"264","heinrich, martin trevor","cand1057",0.764719743159259,135804
"265","waters, allen","cand154587",0.76431718061674,454
"266","dingell, debbie","cand186651",0.764047866805411,23064
"267","campbell, stanley","cand223308",0.762897914379802,911
"268","baker, karen gh","cand219941",0.762668918918919,1184
"269","burge, kevin beryl","cand168314",0.761792452830189,1272
"270","mucarel powell, debbie","cand141562",0.761297950139289,847521
"271","adams, jennifer","cand218605",0.760960960960961,1665
"272","masto, catherine cortez","cand131015",0.760909997467393,252704
"273","courtney, joseph d","cand971",0.760882840443165,11463
"274","slotkin, elissa","cand141616",0.760764885687026,935983
"275","manuel, mel inari","cand218911",0.760606060606061,1650
"276","roth, david jordan","cand169418",0.760570304818092,4068
"277","josephson, gary","cand212652",0.75968992248062,129
"278","holtzman, elizabeth","cand184",0.7596048298573,911
"279","swartz, craig stephen","cand212582",0.759569377990431,836
